#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV1;Zendar;;;;;;;;;;;;;x
PROV2;Praven;;;;;;;;;;;;;x
PROV3;Mebury;;;;;;;;;;;;;x
PROV4;Haiminster;;;;;;;;;;;;;x
PROV5;Fipool;;;;;;;;;;;;;x
PROV6;Sprehill;;;;;;;;;;;;;x
PROV7;Weefield;;;;;;;;;;;;;x
PROV8;Tevarin;;;;;;;;;;;;;x
PROV9;Rafalls;;;;;;;;;;;;;x
PROV10;Shaford;;;;;;;;;;;;;x
PROV11;Wybluff;;;;;;;;;;;;;x
PROV12;Caywold;;;;;;;;;;;;;x
PROV13;Balanli;;;;;;;;;;;;;x
PROV14;Enbury;;;;;;;;;;;;;x
PROV15;Beham;;;;;;;;;;;;;x
PROV16;Elberl;;;;;;;;;;;;;x
PROV17;Whuypool;;;;;;;;;;;;;x
PROV18;Peeford;;;;;;;;;;;;;x
PROV19;Wyemoor;;;;;;;;;;;;;x
PROV20;Nemeja;;;;;;;;;;;;;x
PROV21;Dagrove;;;;;;;;;;;;;x
PROV22;Wyeham;;;;;;;;;;;;;x
PROV23;Haringoth;;;;;;;;;;;;;x
PROV24;Neaford;;;;;;;;;;;;;x
PROV25;Stebury;;;;;;;;;;;;;x
PROV26;Hoobrook;;;;;;;;;;;;;x
PROV27;Gefalls;;;;;;;;;;;;;x
PROV28;Veidar;;;;;;;;;;;;;x
PROV29;Byley;;;;;;;;;;;;;x
PROV30;Leford;;;;;;;;;;;;;x
PROV31;Sebury;;;;;;;;;;;;;x
PROV32;Iyindah;;;;;;;;;;;;;x
PROV33;Leton;;;;;;;;;;;;;x
PROV34;Brefield;;;;;;;;;;;;;x
PROV35;Legrove;;;;;;;;;;;;;x
PROV36;Azgad;;;;;;;;;;;;;x
PROV37;Meedon;;;;;;;;;;;;;x
PROV38;Knewold;;;;;;;;;;;;;x
PROV39;Scegate;;;;;;;;;;;;;x
PROV40;Gisim;;;;;;;;;;;;;x
PROV41;Woford;;;;;;;;;;;;;x
PROV42;Hoobluff;;;;;;;;;;;;;x
PROV43;Coaley;;;;;;;;;;;;;x
PROV44;Ryibelet;;;;;;;;;;;;;x
PROV45;Testead;;;;;;;;;;;;;x
PROV46;Haigate;;;;;;;;;;;;;x
PROV47;Thryford;;;;;;;;;;;;;x
PROV48;Wewold;;;;;;;;;;;;;x
PROV49;Ryibeletville;;;;;;;;;;;;;x
PROV50;Weham;;;;;;;;;;;;;x
