#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_sunotribute;Tributary Suno;Tributaire Suno;Tributpflichtig Suno;;Tributario Suno;;;;;;;;;x
k_sunotribute_adj;Suno;Suno;Suno;;Suno;;;;;;;;;x
k_uxkhaltribute;Tributary Uxkhal;Tributaire Uxkhal;Tributpflichtig Uxkhal;;Tributario Uxkhal;;;;;;;;;x
k_uxkhaltribute_adj;Uxkhal;Uxkhal;Uxkhal;;Uxkhal;;;;;;;;;x
k_dhirimtribute;Tributary Dhirim;Tributaire Dhirim;Tributpflichtig Dhirim;;Tributario Dhirim;;;;;;;;;x
k_dhirimtribute_adj;Dhirim;Dhirim;Dhirim;;Dhirim;;;;;;;;;x
k_khudantribute;Tributary Khudan;Tributaire Khudan;Tributpflichtig Khudan;;Tributario Khudan;;;;;;;;;x
k_khudantribute_adj;Khudan;Khudan;Khudan;;Khudan;;;;;;;;;x
k_rivachegtribute;Tributary Rivacheg;Tributaire Rivacheg;Tributpflichtig Rivacheg;;Tributario Rivacheg;;;;;;;;;x
k_rivachegtribute_adj;Rivacheg;Rivacheg;Rivacheg;;Rivacheg;;;;;;;;;x
k_sargothtribute;Tributary Sargoth;Tributaire Sargoth;Tributpflichtig Sargoth;;Tributario Sargoth;;;;;;;;;x
k_sargothtribute_adj;Sargoth;Sargoth;Sargoth;;Sargoth;;;;;;;;;x
k_werchegtribute;Tributary Wercheg;Tributaire Wercheg;Tributpflichtig Wercheg;;Tributario Wercheg;;;;;;;;;x
k_werchegtribute_adj;Wercheg;Wercheg;Wercheg;;Wercheg;;;;;;;;;x
k_tihrtribute;Tributary Tihr;Tributaire Tihr;Tributpflichtig Tihr;;Tributario Tihr;;;;;;;;;x
k_tihrtribute_adj;Tihr;Tihr;Tihr;;Tihr;;;;;;;;;x
k_yalentribute;Tributary Yalen;Tributaire Yalen;Tributpflichtig Yalen;;Tributario Yalen;;;;;;;;;x
k_yalentribute_adj;Yalen;Yalen;Yalen;;Yalen;;;;;;;;;x
k_velucatribute;Tributary Veluca;Tributaire Veluca;Tributpflichtig Veluca;;Tributario Veluca;;;;;;;;;x
k_velucatribute_adj;Velucan;Velucan;Velucan;;Velucan;;;;;;;;;x
k_curawtribute;Tributary Curaw;Tributaire Curaw;Tributpflichtig Curaw;;Tributario Curaw;;;;;;;;;x
k_curawtribute_adj;Curaw;Curaw;Curaw;;Curaw;;;;;;;;;x
e_ichamurtribute;Tributary Ichamur;Tributaire Ichamur;Tributpflichtig Ichamur;;Tributario Ichamur;;;;;;;;;x
e_ichamurtribute_adj;Ichamur;Ichamur;Ichamur;;Ichamur;;;;;;;;;x
e_narratribute;Tributary Narra;Tributaire Narra;Tributpflichtig Narra;;Tributario Narra;;;;;;;;;x
e_narratribute_adj;Narra;Narra;Narra;;Narra;;;;;;;;;x
k_halmartribute;Tributary Halmar;Tributaire Halmar;Tributpflichtig Halmar;;Tributario Halmar;;;;;;;;;x
k_halmartribute_adj;Halmar;Halmar;Halmar;;Halmar;;;;;;;;;x
k_durqubatribute;Tributary Durquba;Tributaire Durquba;Tributpflichtig Durquba;;Tributario Durquba;;;;;;;;;x
k_durqubatribute_adj;Durquba;Durquba;Durquba;;Durquba;;;;;;;;;x
k_ahmerradtribute;Tributary Ahmerrad;Tributaire Ahmerrad;Tributpflichtig Ahmerrad;;Tributario Ahmerrad;;;;;;;;;x
k_ahmerradtribute_adj;Ahmerrad;Ahmerrad;Ahmerrad;;Ahmerrad;;;;;;;;;x
k_bariyyetribute;Tributary Bariyye;Tributaire Bariyye;Tributpflichtig Bariyye;;Tributario Bariyye;;;;;;;;;x
k_bariyyetribute_adj;Bariyye;Bariyye;Bariyye;;Bariyye;;;;;;;;;x
