#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_player_swadia;Swadian Warband;;;;;;;;;;;;;x
d_player_swadia_adj;Swadian Warband;;;;;;;;;;;;;x
c_player_swadia;Swadian Warband;;;;;;;;;;;;;x
c_player_swadia_adj;Swadian Warband;;;;;;;;;;;;;x
d_player_vaegirs;Vaegir Warband;;;;;;;;;;;;;x
d_player_vaegirs_adj;Vaegir Warband;;;;;;;;;;;;;x
c_player_vaegirs;Vaegir Warband;;;;;;;;;;;;;x
c_player_vaegirs_adj;Vaegir Warband;;;;;;;;;;;;;x
d_player_nords;Nordic Warband;;;;;;;;;;;;;x
d_player_nords_adj;Nordic Warband;;;;;;;;;;;;;x
c_player_nords;Nordic Warband;;;;;;;;;;;;;x
c_player_nords_adj;Nordic Warband;;;;;;;;;;;;;x
d_player_rhodoks;Rhodok Warband;;;;;;;;;;;;;x
d_player_rhodoks_adj;Rhodok Warband;;;;;;;;;;;;;x
c_player_rhodoks;Rhodok Warband;;;;;;;;;;;;;x
c_player_rhodoks_adj;Rhodok Warband;;;;;;;;;;;;;x
d_player_khergit;Khergit Warband;;;;;;;;;;;;;x
d_player_khergit_adj;Khergit Warband;;;;;;;;;;;;;x
c_player_khergit;Khergit Warband;;;;;;;;;;;;;x
c_player_khergit_adj;Khergit Warband;;;;;;;;;;;;;x
d_player_sarranid;Sarranid Warband;;;;;;;;;;;;;x
d_player_sarranid_adj;Sarranid Warband;;;;;;;;;;;;;x
c_player_sarranid;Sarranid Warband;;;;;;;;;;;;;x
c_player_sarranid_adj;Sarranid Warband;;;;;;;;;;;;;x
d_knights_of_ni;Knights of Ni;;;;;;;;;;;;;x
d_knights_of_ni_adj;Knights of Ni;;;;;;;;;;;;;x
